CLAVE DE LA NORMA,TITULO,F. PUBLICACIÓN,TIPO NORMA,PRODUCTO,RAE,CTNN,ONN,DOCUMENTO
NMX-A-067-INNTEX-2001,INDUSTRIA TEXTIL-SOLIDEZ DEL COLOR-DETERMINACION DEL MANCHADO POR EL AGUA-METODO DE PRUEBA.,2001-04-25T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-069-1990,"DETERMINACION DE LA CARGA DE RUPTURA, TENACIDAD Y ALARGAMIENTO POR EL  METODO DE HILO INDIVIDUAL. (CANCELA A LA NOM-A-Ó9-1977)                                                                                                                                                              ",1991-01-09T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1990/nmx-a-069-1990.pdf
NMX-A-070-INNTEX-2008,INDUSTRIA TEXTIL-SOLIDEZ DEL COLOR-DETERMINACION DE LA SOLIDEZ DEL COLOR AL AGUA-METODO DE PRUEBA (CANCELA A LA NMX-A-070-INNTEX-1999.,2008-06-13T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-073-INNTEX-2005,"INDUSTRIA TEXTIL-SOLIDEZ DEL COLOR-DETERMINACION DE LA SOLIDEZ DEL COLOR AL FROTE-METODO DE PRUEBA (CANCELA A LA NMX-A-073-1995-INNTEX).
",2006-03-17T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-074-INNTEX-2005,"INDUSTRIA TEXTIL-DETERMINACION DE LA SOLIDEZ DEL COLOR AL 
LAVADO DOMESTICO E INDUSTRIAL-METODO DE PRUEBA (CANCELA A LA NMX-A-074-1995-INNTEX).
",2006-03-17T00:00:00Z,DEFINITIVA,COLOR,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-075-INNTEX-2009,INDUSTRIA TEXTIL-METODO DE PRUEBA PARA LA DETERMINACION DE LA SOLIDEZ DEL COLOR AL AGUA DE MAR.,2009-10-19T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-079-INNTEX-2005,INDUSTRIA TEXTIL-DETERMINACION DE LA SOLIDEZ DEL COLOR DE LOS MATERIALES TEXTILES AL MERCERIZADO-METODO DE PRUEBA (CANCELA A LA NMX-A-079-1996-INNTEX).,2006-03-17T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-080-INNTEX-2008,"INDUSTRIA TEXTIL – DETERMINACIÓN DE LA SOLIDEZ DEL COLOR EN LOS MATERIALES TEXTILES AL BLANQUEO CON HIPOCLORITO DE SODIO – MÉTODO DE PRUEBA (CANCELA LA NMX-A-080-1996-INNTEX).
",2008-06-19T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-086-INNTEX-2009,INDUSTRIA TEXTIL-EVALUACIÓN DE LA APARIENCIA DE LOS HILADOS DE ALGODÓN MEDIANTE PATRONES-MÉTODO DE PRUEBA,2009-12-23T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-088-1994-INNTEX,"MÉTODO DE PRUEBA PARA DETERMINAR LA LONGITUD Y LA UNIFORMIDAD DE LA  LONGITUD DE LAS FIBRAS DE ALGODÓN, MEDIANTE EL FIBRÓGRAFO.                                                                                                                               ",1996-08-15T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-090-INNTEX-2006,INDUSTRIA TEXTIL-DETERMINACION DE LAS MATERIAS EXTRAIBLES DE LOS TEXTILES-METODO DE PRUEBA (CANCELA LA NMX-A-090-1994-INNTEX).,2007-01-30T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-091-INNTEX-2000,INDUSTRIA TEXTIL-TELAS NO TEJIDAS-DETERMINACION DEL ESPESOR DE LOS MATERIALES TEXTILES-METODO DE PRUEBA (CANCELA A LA NMX-A-091-1969).,2000-08-18T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-092-INNTEX-2009,INDUSTRIA TEXTIL-PROCEDIMIENTOS DE LAVADO Y DE SECADO DOMESTICO PARA LOS ENSAYOS DE TEXTILES. ,2009-10-19T00:00:00Z,DEFINITIVA,LAVADO,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-094-INNTEX-2009,INDUSTRIA DEL VESTIDO-FUNDAS PARA COJÍN DE CAMA HOSPITALARIA-ESPECIFICACIONES.,2009-12-23T00:00:00Z,DEFINITIVA,FUNDAS,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-095-INNTEX-2002,INDUSTRIA TEXTIL-VESTIDO-TALLAS PARA PANTALETAS DE DAMA (CANCELA A LA NMX-A-095-1966).,2002-09-23T00:00:00Z,DEFINITIVA,TALLAS,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-096-INNTEX-2008,INDUSTRIA TEXTIL-VESTIDO-UNIFORME QUIRURGICO PARA USO HOSPITALARIO-ESPECIFICACIONES.,2009-01-07T00:00:00Z,DEFINITIVA,UNIFORME QUIRURGICO,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-097-INNTEX-2009,INDUSTRIA DEL VESTIDO-FUNDA PARA MESA MAYO HOSPITALARIA-ESPECIFICACIONES.,2009-12-23T00:00:00Z,DEFINITIVA,FUNDAS,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-099-INNTEX-2007,"INDUSTRIA TEXTIL-FIBRAS-TERMINOLOGIA Y CLASIFICACION DE FIBRAS Y FILAMENTOS TEXTILES (CANCELA A LA NMX-A-099-INNTEX-2005).
",2008-03-06T00:00:00Z,DEFINITIVA,VOCABULARIO,INDUSTRIA TEXTIL,NO APLICA,"INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).",NO APLICA
NMX-A-102-1983,"""INDUSTRIA TEXTIL-DETERMINACIÓN DE LA RESISTENCIA A LA ABRASIÓN EN LOS TEJIDOS TEXTILES (METODO DEL DIAFRAGMA INFLADO)"" (ESTA NORMA CANCELA ÉL LA NOM-A-102-1967)",1983-07-14T00:00:00Z,DEFINITIVA,MÉTODO DE PRUEBA,INDUSTRIA TEXTIL,CTNN DE LA INDUSTRIA TEXTIL Y DEL VESTIDO.,NO APLICA,http://www.economia-nmx.gob.mx/normas/nmx/1983/nmx-a-102-1983.pdf
